filename,category,confidence,source,blur,noise,exposure,resolution,status
img (1).webp,wallpaper,0.75,opencv,extremely_blurry,very_clean,properly_exposed,Low Resolution,Rejected
img (10).webp,wallpaper,0.75,opencv,extremely_blurry,very_clean,underexposed,4K,Rejected
img (11).webp,wallpaper,0.5,opencv,moderately_sharp,very_clean,properly_exposed,Full HD,Accepted
img (12).webp,wallpaper,0.75,opencv,sharp,low_noise,underexposed,2K,Rejected
img (13).webp,wallpaper,0.273,siglip,sharp,low_noise,properly_exposed,2K,Accepted
img (14).webp,wallpaper,0.6,opencv,extremely_blurry,very_clean,properly_exposed,4K,Rejected
img (15).webp,screenshot,0.842,siglip,moderately_sharp,very_clean,properly_exposed,4K,Accepted
img (16).webp,wallpaper,0.6,opencv,sharp,low_noise,properly_exposed,2K,Accepted
img (17).webp,duplicate,1.0,duplicate_detector,-,-,-,-,Duplicate
img (2).webp,wallpaper,0.5,opencv,sharp,low_noise,properly_exposed,Low Resolution,Accepted
img (3).webp,wallpaper,0.6,opencv,sharp,very_clean,properly_exposed,Low Resolution,Accepted
img (4).webp,wallpaper,0.75,opencv,extremely_blurry,very_clean,underexposed,4K,Rejected
img (5).webp,wallpaper,0.681,siglip,sharp,low_noise,properly_exposed,HD,Accepted
img (6).webp,screenshot,0.666,siglip,sharp,very_clean,properly_exposed,Low Resolution,Accepted
img (7).webp,screenshot,0.921,siglip,sharp,very_clean,properly_exposed,HD,Accepted
img (8).webp,screenshot,0.788,siglip,sharp,very_clean,properly_exposed,HD,Accepted
img (9).webp,wallpaper,0.356,siglip,sharp,moderate_noise,properly_exposed,Low Resolution,Rejected
img.webp,wallpaper,0.5,opencv,moderately_sharp,very_clean,properly_exposed,Low Resolution,Accepted
